No.,Time,Source,Destination,Protocol,Length,Info
1,12:09:58.390854384,144.38.239.87,172.64.41.4,TCP,54,51428  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
2,12:09:58.390869623,144.38.239.87,172.64.41.4,TCP,54,51416  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
3,12:09:58.412520287,172.64.41.4,144.38.239.87,TCP,54,443  >  51428 [ACK] Seq=1 Ack=675 Win=57344 Len=0
4,12:09:58.412520634,172.64.41.4,144.38.239.87,TCP,54,443  >  51416 [ACK] Seq=1 Ack=675 Win=57344 Len=0
5,12:09:58.422113414,144.38.239.87,172.64.41.4,TCP,54,51428  >  443 [ACK] Seq=675 Ack=4916 Win=59392 Len=0
6,12:09:58.422158207,144.38.239.87,172.64.41.4,TCP,54,51416  >  443 [ACK] Seq=675 Ack=4918 Win=59392 Len=0
7,12:09:58.469202328,172.64.41.4,144.38.239.87,TCP,54,443  >  51428 [ACK] Seq=4916 Ack=909 Win=65536 Len=0
8,12:09:58.469202517,172.64.41.4,144.38.239.87,TCP,54,443  >  51416 [ACK] Seq=4918 Ack=926 Win=65536 Len=0
9,12:09:58.470364312,144.38.239.87,172.64.41.4,TCP,54,"51416  >  443 [FIN, ACK] Seq=950 Ack=5455 Win=64128 Len=0"
10,12:09:58.474043531,144.38.239.87,172.64.41.4,TCP,54,51428  >  443 [ACK] Seq=1465 Ack=6622 Win=64128 Len=0
11,12:09:58.489700549,172.64.41.4,144.38.239.87,TCP,54,"443  >  51416 [FIN, ACK] Seq=5455 Ack=951 Win=65536 Len=0"
12,12:09:58.489729009,144.38.239.87,172.64.41.4,TCP,54,51416  >  443 [ACK] Seq=951 Ack=5456 Win=64128 Len=0
13,12:09:58.703563681,172.64.41.4,144.38.239.87,TCP,54,443  >  51428 [ACK] Seq=6622 Ack=1465 Win=65536 Len=0
14,12:09:58.865670792,144.38.239.87,34.107.221.82,TCP,54,55246  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0
15,12:09:58.876269680,34.107.221.82,144.38.239.87,TCP,54,80  >  55246 [ACK] Seq=1 Ack=302 Win=66816 Len=0
16,12:09:58.880034288,144.38.239.87,34.107.221.82,TCP,54,55246  >  80 [ACK] Seq=302 Ack=299 Win=64128 Len=0
17,12:09:58.897856553,144.38.239.87,34.107.221.82,TCP,54,55252  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0
18,12:09:58.910661785,34.107.221.82,144.38.239.87,TCP,54,80  >  55252 [ACK] Seq=1 Ack=304 Win=66816 Len=0
19,12:09:58.910684802,144.38.239.87,34.107.221.82,TCP,54,55252  >  80 [ACK] Seq=304 Ack=217 Win=64128 Len=0
20,12:09:58.936851164,144.38.239.87,172.64.41.4,TCP,54,51438  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
21,12:09:58.966007034,172.64.41.4,144.38.239.87,TCP,54,443  >  51438 [ACK] Seq=1 Ack=675 Win=57344 Len=0
22,12:09:58.966057375,144.38.239.87,172.64.41.4,TCP,54,51438  >  443 [ACK] Seq=675 Ack=4916 Win=59904 Len=0
23,12:09:58.980903040,144.38.239.87,172.64.41.4,TCP,54,51442  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
24,12:09:58.985381921,144.38.239.87,172.64.41.4,TCP,54,51452  >  443 [RST] Seq=1 Win=0 Len=0
25,12:09:58.985394692,144.38.239.87,172.64.41.4,TCP,54,51458  >  443 [RST] Seq=1 Win=0 Len=0
26,12:09:59.005374362,172.64.41.4,144.38.239.87,TCP,54,443  >  51438 [ACK] Seq=4916 Ack=909 Win=65536 Len=0
27,12:09:59.005374575,172.64.41.4,144.38.239.87,TCP,54,443  >  51442 [ACK] Seq=1 Ack=675 Win=57344 Len=0
28,12:09:59.005409593,144.38.239.87,172.64.41.4,TCP,54,51442  >  443 [ACK] Seq=675 Ack=4916 Win=59392 Len=0
29,12:09:59.009335492,144.38.239.87,172.64.41.4,TCP,54,51438  >  443 [ACK] Seq=1680 Ack=7176 Win=62464 Len=0
30,12:09:59.076729777,172.64.41.4,144.38.239.87,TCP,54,443  >  51442 [ACK] Seq=4916 Ack=926 Win=65536 Len=0
31,12:09:59.076730072,172.64.41.4,144.38.239.87,TCP,54,443  >  51438 [ACK] Seq=7176 Ack=1895 Win=65536 Len=0
32,12:09:59.077167809,144.38.239.87,172.64.41.4,TCP,54,51438  >  443 [ACK] Seq=2540 Ack=9392 Win=61952 Len=0
33,12:09:59.078933821,144.38.239.87,172.64.41.4,TCP,54,"51442  >  443 [FIN, ACK] Seq=950 Ack=5453 Win=64128 Len=0"
34,12:09:59.089286717,144.38.239.87,34.117.237.239,TCP,54,43110  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
35,12:09:59.089312337,144.38.239.87,34.117.237.239,TCP,54,43094  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
36,12:09:59.093895996,144.38.239.87,34.149.100.209,TCP,54,45980  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
37,12:09:59.098098823,172.64.41.4,144.38.239.87,TCP,54,443  >  51442 [ACK] Seq=5453 Ack=950 Win=57344 Len=0
38,12:09:59.098098862,172.64.41.4,144.38.239.87,TCP,54,"443  >  51442 [FIN, ACK] Seq=5453 Ack=951 Win=65536 Len=0"
39,12:09:59.098145157,144.38.239.87,172.64.41.4,TCP,54,51442  >  443 [ACK] Seq=951 Ack=5454 Win=64128 Len=0
40,12:09:59.101828962,34.117.237.239,144.38.239.87,TCP,54,443  >  43110 [ACK] Seq=1 Ack=677 Win=67072 Len=0
41,12:09:59.109937378,34.117.237.239,144.38.239.87,TCP,54,443  >  43094 [ACK] Seq=1 Ack=677 Win=67072 Len=0
42,12:09:59.109977229,144.38.239.87,34.117.237.239,TCP,54,43110  >  443 [ACK] Seq=677 Ack=3901 Win=60672 Len=0
43,12:09:59.109999568,144.38.239.87,34.117.237.239,TCP,54,43110  >  443 [ACK] Seq=677 Ack=4518 Win=60160 Len=0
